user_id,pet_ownership_label,dry_food_purchases,wet_food_purchases,treats_purchases
user_0,1,2.6,3.4,6.1
user_1,1,2.0,0.0,1.0
user_2,1,1.1,1.0,1.7
user_3,1,1.1,1.0,1.2
user_4,1,1.8,1.0,1.0
user_5,0,0.0,0.0,0.0
user_6,1,1.5,3.1,0.0
user_7,0,0.0,0.0,0.0
user_8,1,1.0,0.0,0.0
user_9,0,0.0,0.0,0.0
user_10,1,1.1,2.2,2.2
user_11,0,0.0,0.0,0.0
user_12,0,0.0,0.0,0.0
user_13,1,0.0,0.0,2.0
user_14,1,1.0,0.0,1.0
user_15,1,0.0,0.0,1.0
user_16,1,1.0,0.0,0.0
user_17,0,0.0,0.0,0.0
user_18,1,1.4,0.0,1.3
user_19,1,1.0,0.0,1.2
user_20,0,0.0,0.0,0.0
user_21,1,0.0,1.0,1.0
user_22,0,0.0,0.0,0.0
user_23,0,1.0,0.0,0.0
user_24,1,1.2,0.0,1.3
user_25,0,0.0,0.0,0.0
user_26,1,0.0,0.0,0.0
user_27,1,1.7,1.0,1.0
user_28,0,2.0,0.0,2.7
user_29,1,1.0,1.5,1.5
user_30,0,1.0,1.0,1.0
user_31,1,0.0,0.0,1.0
user_32,0,1.0,0.0,0.0
user_33,0,0.0,0.0,0.0
user_34,0,0.0,0.0,1.0
user_35,0,1.0,0.0,1.0
user_36,0,0.0,0.0,0.0
user_37,1,1.4,1.5,4.4
user_38,1,1.0,1.0,2.0
user_39,1,1.0,0.0,1.7
user_40,1,0.0,0.0,0.0
user_41,1,1.0,0.0,2.0
user_42,0,1.0,0.0,1.0
user_43,0,0.0,0.0,0.0
user_44,1,0.0,0.0,1.0
user_45,0,0.0,0.0,0.0
user_46,0,0.0,0.0,0.0
user_47,1,1.0,1.0,0.0
user_48,0,0.0,0.0,0.0
user_49,1,0.0,0.0,2.0
user_50,0,0.0,0.0,0.0
user_51,1,1.2,1.0,1.4
user_52,1,1.0,0.0,1.2
user_53,1,1.0,0.0,1.0
user_54,0,1.0,1.3,2.0
user_55,0,0.0,0.0,1.0
user_56,0,0.0,0.0,0.0
user_57,1,1.0,0.0,0.0
user_58,0,1.0,0.0,0.0
user_59,1,1.0,0.0,0.0
user_60,0,0.0,0.0,0.0
user_61,0,1.0,0.0,1.2
user_62,0,0.0,1.4,0.0
user_63,1,1.2,0.0,1.3
user_64,0,1.0,0.0,1.0
user_65,0,0.0,1.0,1.0
user_66,0,0.0,0.0,0.0
user_67,1,0.0,0.0,0.0
user_68,0,0.0,0.0,0.0
user_69,0,0.0,0.0,0.0
user_70,0,1.0,0.0,0.0
user_71,0,0.0,0.0,1.0
user_72,1,1.0,0.0,0.0
user_73,1,1.0,1.0,1.0
user_74,0,0.0,0.0,0.0
user_75,1,0.0,0.0,0.0
user_76,1,1.2,1.0,1.7
user_77,1,0.0,0.0,1.8
user_78,0,0.0,0.0,0.0
user_79,1,1.8,7.6,3.2
user_80,1,0.0,0.0,0.0
user_81,1,1.0,0.0,1.0
user_82,1,1.3,0.0,1.9
user_83,0,0.0,0.0,0.0
user_84,0,0.0,0.0,0.0
user_85,0,0.0,0.0,0.0
user_86,1,1.0,3.0,1.4
user_87,1,1.0,0.0,1.0
user_88,0,1.0,1.0,1.0
user_89,0,1.0,0.0,1.0
user_90,0,0.0,0.0,0.0
user_91,0,1.0,0.0,1.6
user_92,0,0.0,0.0,2.0
user_93,0,0.0,0.0,1.0
user_94,1,2.5,0.0,1.0
user_95,0,1.0,0.0,1.3
user_96,0,0.0,0.0,0.0
user_97,1,0.0,1.7,2.2
user_98,1,0.0,0.0,0.0
user_99,1,1.4,1.0,2.0
user_100,1,1.0,0.0,1.1
user_101,0,0.0,1.0,1.0
